,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
180,5080931,2018-07-02 10:13:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,6.0,OPEN,38.215739816799996,-85.78155840710001
181,5080929,2018-07-02 10:13:25,NGARBAGE QUEST,SWMS,8.0,CLOSED,38.224350145,-85.69647255619999
182,5080930,2018-07-02 10:13:28,NJUNK WEEK,PICKUP DAYS,4.0,CLOSED,38.23742641,-85.7310171955
183,5080932,2018-07-02 10:14:00,HIGH GRASS WEEDS,IPL,6.0,CLOSED,38.215547719499995,-85.78175625840001
184,5077283,2018-07-02 10:15:00,EXTERIOR VIOL,IPL,3.0,CLOSED,38.1946062528,-85.7940657964
185,5080935,2018-07-02 10:16:00,HIGH GRASS WEEDS,IPL,13.0,CLOSED,38.123200853200004,-85.7489257459
186,5080937,2018-07-02 10:17:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,6.0,OPEN,38.2120665939,-85.76630091050001
187,5080936,2018-07-02 10:17:06,TRASH PVT PROP,IPL,10.0,CLOSED,38.197957762399994,-85.6557865278
188,5080939,2018-07-02 10:18:00,SIGNAGE REPAIR,PUBLIC WORKS,15.0,CLOSED,38.200600533,-85.765108947
189,5080938,2018-07-02 10:18:16,VAP STRUC WEEDS,IPL,6.0,CLOSED,38.2449149846,-85.7957133987
190,5080941,2018-07-02 10:19:36,VEHICLE PVT PROP,IPL,1.0,CLOSED,38.1925905405,-85.8477119138
191,5080946,2018-07-02 10:21:00,GARBAGE VIOLATIO,SWMS,15.0,CLOSED,38.1935593214,-85.7782513531
192,5080948,2018-07-02 10:21:00,VEHICLE PVT PROP,IPL,15.0,CLOSED,38.1935593214,-85.7782513531
193,5080945,2018-07-02 10:21:16,VAP LOT WEEDS,IPL,1.0,CLOSED,38.194920953600004,-85.8506133421
194,5080949,2018-07-02 10:22:00,DAMAGE GARB CART,SWMS,5.0,CLOSED,38.263931896100004,-85.7846056914
195,5080953,2018-07-02 10:22:00,RECYCLE BINS,SWMS,5.0,CLOSED,38.263931896100004,-85.7846056914
196,5080950,2018-07-02 10:23:00,VEHICLE PVT PROP,IPL,2.0,CLOSED,38.1698289113,-85.6949634701
197,5080951,2018-07-02 10:23:00,TRASH PVT PROP,IPL,14.0,CLOSED,38.1099394743,-85.8111995247
198,5080956,2018-07-02 10:25:45,JUNK MISSED,SWMS,9.0,CLOSED,38.2549553767,-85.7160812838
199,5080958,2018-07-02 10:26:42,VAP LOT WEEDS,IPL,6.0,CLOSED,38.238001982600004,-85.780098707
